Model,Paper Link,BLEU Score,Year,github href,paper href,Title,Extra Training Data,Industry Affiliation,Academia Affiliation,Country
Denoising autoencoders,https://paperswithcode.com/paper/deterministic-non-autoregressive-neural,21.54,2018,https://paperswithcode.com/paper/deterministic-non-autoregressive-neural#code,https://paperswithcode.com/paper/deterministic-non-autoregressive-neural/review/?hl=2862,Deterministic Non-Autoregressive Neural Sequence Modeling by Iterative Refinement,No,,New York University,
RNN Enc-Dec Att,https://paperswithcode.com/paper/effective-approaches-to-attention-based,20.9,2015,https://paperswithcode.com/paper/effective-approaches-to-attention-based#code,https://paperswithcode.com/paper/effective-approaches-to-attention-based/review/?hl=19117,Effective Approaches to Attention-based Neural Machine Translation,No,,Stanford University,
FlowSeq-large,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional,20.85,2019,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional#code,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional/review/?hl=7012,FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,No,Facebook AI Research,Carnegie Mellon University,
Deep-Att,https://paperswithcode.com/paper/deep-recurrent-models-with-fast-forward,20.7,2016,https://paperswithcode.com/paper/deep-recurrent-models-with-fast-forward#code,https://paperswithcode.com/paper/deep-recurrent-models-with-fast-forward/review/?hl=387,Deep Recurrent Models with Fast-Forward Connections for Neural Machine Translation,No,Baidu Inc.,,
Phrase Based MT,https://paperswithcode.com/paper/edinburghs-syntax-based-systems-at-wmt-2015,20.7,2015,,https://paperswithcode.com/paper/edinburghs-syntax-based-systems-at-wmt-2015#results,Edinburgh's Syntax-Based Systems at WMT 2015,No,,"University of Edinburgh, Johns Hopkins University",
PBSMT + NMT,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine,20.23,2018,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine#code,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine/review/?hl=2795,Phrase-Based & Neural Unsupervised Machine Translation,No,Facebook AI Research,Sorbonne University,
NAT +FT + NPD,https://paperswithcode.com/paper/non-autoregressive-neural-machine-translation-1,19.17,2017,https://paperswithcode.com/paper/non-autoregressive-neural-machine-translation-1#code,https://paperswithcode.com/paper/non-autoregressive-neural-machine-translation-1/review/?hl=2838,Non-Autoregressive Neural Machine Translation,No,Salesforce,The University of Hong Kong,
FlowSeq-base,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional,18.55,2019,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional#code,https://paperswithcode.com/paper/flowseq-non-autoregressive-conditional/review/?hl=7013,FlowSeq: Non-Autoregressive Conditional Sequence Generation with Generative Flow,No,Facebook AI Research,Carnegie Mellon University,
Seq-KD + Seq-Inter + Word-KD,https://paperswithcode.com/paper/sequence-level-knowledge-distillation,18.5,2016,https://paperswithcode.com/paper/sequence-level-knowledge-distillation#code,https://paperswithcode.com/paper/sequence-level-knowledge-distillation/review/?hl=2802,Sequence-Level Knowledge Distillation,No,,Harvard University,
Unsupervised PBSMT,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine,17.94,2018,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine#code,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine/review/?hl=2793,Phrase-Based & Neural Unsupervised Machine Translation,No,Facebook AI Research,Sorbonne University,
NSE-NSE,https://paperswithcode.com/paper/neural-semantic-encoders,17.9,2016,https://paperswithcode.com/paper/neural-semantic-encoders#code,https://paperswithcode.com/paper/neural-semantic-encoders/review/?hl=386,Neural Semantic Encoders,No,,University of Massachusetts Amherst,
Unsupervised NMT + Transformer,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine,17.16,2018,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine#code,https://paperswithcode.com/paper/phrase-based-neural-unsupervised-machine/review/?hl=2794,Phrase-Based & Neural Unsupervised Machine Translation,No,Facebook AI Research,Sorbonne University,
SMT + iterative backtranslation,https://paperswithcode.com/paper/unsupervised-statistical-machine-translation,14.08,2018,https://paperswithcode.com/paper/unsupervised-statistical-machine-translation#code,https://paperswithcode.com/paper/unsupervised-statistical-machine-translation/review/?hl=2831,Unsupervised Statistical Machine Translation,No,,University of the Basque Country,
Reverse RNN Enc-Dec,https://paperswithcode.com/paper/effective-approaches-to-attention-based,14,2015,https://paperswithcode.com/paper/effective-approaches-to-attention-based#code,https://paperswithcode.com/paper/effective-approaches-to-attention-based/review/?hl=19116,Effective Approaches to Attention-based Neural Machine Translation,No,,Stanford University,
RNN Enc-Dec,https://paperswithcode.com/paper/effective-approaches-to-attention-based,11.3,2015,https://paperswithcode.com/paper/effective-approaches-to-attention-based#code,https://paperswithcode.com/paper/effective-approaches-to-attention-based/review/?hl=19115,Effective Approaches to Attention-based Neural Machine Translation,No,,Stanford University,
MAT,https://paperswithcode.com/paper/multi-branch-attentive-transformer,29.9,2020,https://paperswithcode.com/paper/multi-branch-attentive-transformer#code,https://paperswithcode.com/paper/multi-branch-attentive-transformer/review/?hl=17480,Multi-branch Attentive Transformer,No,Microsoft Asia,University of Science and Technology China,
