Model,EM Score,F1 Score,Year
ELECTRA,88.716,91.365,2020
Tuned ALBERT,88.637,91.230,2020
ELECTRA_ATT,88.614,91.303,2020
Deberta+prefix,88.603,91.299,2021
ALBERT,88.592,91.286,2020
XLNet + DAAF + Verifier,88.592,90.859,2019
ALBERT + IG + NE,88.569,91.287,2020
ALBERT + IG,88.524,91.256,2020
aanet_v2.0,88.434,90.918,2020
albert+verifier,88.355,91.019,2019
albert+KD+transfer,88.298,91.078,2020
UPM,88.231,90.713,2019
ALBERT + SFVerifier,88.197,90.830,2020
{alber_m_transfor},88.186,90.939,2020
XLNet + SG-Net Verifier,88.174,90.702,2019
Retro-Reader on ALBERT,88.107,91.419,2020
Retro-Reader on ALBERT,88.107,91.419,2020
ALBERT,88.107,90.902,2019
ALBERT,88.107,90.902,2019
{MTL},88.107,90.902,2020
MTL,88.107,90.902,2020
albert_with_tricks,88.073,91.179,2020
ALBert,88.050,91.036,2020
XLNet + SG-Net Verifier,88.050,90.645,2019
DeBERTalarge,88.0,90.7,2020
ALBERT 1.1 Th,87.994,90.944,2020
SkERT-Large,87.994,90.944,2020
albert+KD+transfer+twopass,87.949,90.818,2020
XLNet,87.926,90.689,2019
ALBERT+RL,87.870,90.823,2020
ALBERT+Entailment DA Verifier,87.847,91.265,2019
Tuned ALBERT,87.847,90.532,2020
albert_xxlarge,87.802,90.872,2020
ALBERT 1.1,87.700,90.588,2020
LUKE,87.429,90.163,2020
LUKE,87.429,90.163,2020
XLNet + SG-Net Verifier++,87.238,90.071,2019
UPM,87.193,89.934,2019
BERT + DAE + AoA,87.147,89.474,2019
XLNet + SG-Net Verifier,87.046,89.899,2019
RoBERTa+Verify,86.933,90.037,2019
RoBERTa,86.820,89.795,2019
RoBERTa,86.820,89.795,2019
BERT + ConvLSTM + MTL + Verifier,86.730,89.286,2019
BERT + N-Gram Masking + Synthetic Self-Training,86.673,89.147,2019
RoBERTa+Span,86.651,89.595,2019
Xlnet+Verifier,86.594,89.082,2019
Xlnet+Verifier,86.572,89.063,2019
Xlnet+Verifier,86.572,89.063,2019
RoBERTa+Verify,86.448,89.586,2019
XLNET-123,86.436,89.086,2019
XLNET-V2-123+,86.403,89.148,2019
XLNet,86.346,89.133,2019
SG-Net,86.211,88.848,2019
SG-Net,86.211,88.848,2019
BERT++,86.166,88.886,2019
SemBERT,86.166,88.886,2019
SemBERT,86.166,88.886,2019
SemBERT,86.166,88.886,2019
Enhanced Albert+Verifier,86.098,89.634,2020
BERT + DAE + AoA,85.884,88.621,2019
RoBERTa+Span,85.872,88.989,2019
RoBERTa-Large,85.872,88.793,2020
BNDVnet,85.850,88.449,2019
Unnamed submission by guo,85.838,88.921,2019
BERTSP,85.838,88.921,2019
BERTSP,85.838,88.921,2019
Enhanced Albert+Verifier3,85.827,89.778,2020
SENSEFORTH + XLNet,85.827,88.699,2019
SpanBERT,85.748,88.709,2019
SemBERT,85.703,88.400,2019
SpanBERT,85.7,88.7,2019
BertCNN,85.240,87.901,2019
SG-Net,85.229,87.926,2019
SG-Net,85.229,87.926,2019
RoBERTa-Large,85.173,88.425,2020
BERT + N-Gram Masking + Synthetic Self-Training,85.150,87.715,2019
BERT + MMFT + ADA,85.082,87.615,2019
BNDVnet,85.003,87.833,2019
BERT + ConvLSTM + MTL + Verifier,84.924,88.204,2019
Insight-baseline-BERT,84.834,87.644,2019
BertSpan,84.823,87.489,2019
SemBERT,84.800,87.864,2019
SemBERT,84.800,87.864,2019
Hanvon_model,84.721,87.117,2019
Hanvon_model,84.721,87.117,2019
xlnet,84.642,88.000,2019
xlnet,84.642,88.000,2019
xlnet,84.642,88.000,2019
BERT++,84.620,87.625,2019
BERT + Synthetic Self-Training,84.292,86.967,2019
BERT + Multiple-CNN,84.202,86.767,2019
BERT + Multiple-CNN,84.202,86.767,2019
SemNet,83.819,86.669,2021
Tuned BERT-1seq Large Cased,83.751,86.594,2019
BERT finetune baseline,83.536,86.096,2018
SynNet,83.525,86.222,2021
Lunet + Verifier + BERT,83.469,86.043,2018
PAML+BERT,83.457,86.122,2018
Unnamed submission by Senseforth_AI,83.142,85.873,2019
SENSEFORTH + BERT,83.142,85.873,2019
Bert-raw,83.119,85.510,2019
BERT with Something,83.051,85.737,2019
BERT + MMFT + ADA,83.040,85.892,2019
Lunet + Verifier + BERT,82.995,86.035,2018
BERT + Synthetic Self-Training,82.972,85.810,2019
mgrc_l,82.961,86.075,2021
ATB,82.882,86.002,2019
Tuned BERT Large Cased,82.803,85.863,2019
BERT-Base + QA Pre-training,82.724,85.491,2019
BERT + NeurQuRI,82.713,85.584,2019
PAML+BERT,82.577,85.603,2018
Unnamed submission by cooelf,82.431,85.178,2019
AoA + DA + BERT,82.374,85.310,2018
BART + Adapters + Lohfink-Rossi-Leaveout,82.306,85.670,2021
BERT finetune baseline,82.126,84.820,2018
Candi-Net+BERT,82.126,84.624,2018
BERT-Base PMI-Masking Additional Data,82.024,84.854,2020
BERT_s,81.979,84.846,2019
Unnamed submission by zw10,81.731,84.862,2019
BERT-large+UBFT,81.573,84.535,2019
AoA + DA + BERT,81.178,84.251,2018
BERT with Something,81.110,84.386,2019
BERT-Base PMI-Masking,80.896,83.604,2020
BERT + UnAnsQ,80.749,83.851,2019
BERT + AL,80.715,83.827,2019
BERT + NeurQuRI,80.591,83.391,2019
BERTlarge,80.456,83.509,2019
Bert,80.422,83.118,2019
Bert-raw,80.411,83.457,2019
Candi-Net+BERT,80.388,82.908,2018
PMI-Masking Additional Data Random Baseline,80.377,83.262,2020
Unnamed submission by zw4,80.354,83.329,2019
{Bert-Span},80.354,83.329,2019
Bert-raw,80.343,83.243,2019
PMI-Masking Pure-PMI,80.241,83.175,2020
BISAN-CC,80.208,83.149,2019
ST_bl,80.140,82.962,2019
PwP+BERT,80.117,83.189,2018
PMI-Masking Random Baseline,80.038,82.796,2020
BERT + UDA,80.005,83.208,2019
BERT,80.005,83.061,2018
PMI-Masking Additional Data Pure-PMI,79.993,83.039,2020
Original BERT Large Cased,79.971,83.266,2019
bert,79.971,83.184,2019
BERT + Sparse-Transformer,79.948,83.023,2019
Insight-baseline,79.779,83.099,2019
NEXYS_BASE,79.779,82.912,2018
BERT uncased,79.745,83.020,2019
{bert-finetuning},79.632,82.852,2019
L6Net + BERT,79.181,82.259,2018
{Anonymous},78.876,82.524,2019
BERT + WIAN,78.650,81.497,2019
BERTlarge,78.650,81.474,2019
AMBERT,78.594,81.445,2020
BISAN,78.481,81.531,2019
BERT-Large-Cased,78.357,81.500,2019
BERT-Large-Cased,78.357,81.500,2019
BERT+AC,78.052,81.174,2018
BERT+AC,78.052,81.174,2018
BERT,77.319,80.310,2020
SLQA+BERT,77.003,80.209,2018
AMBERT-H,76.710,79.659,2020
AMBERT-S,76.563,79.776,2020
synss,76.055,79.329,2019
synss,76.055,79.329,2019
BERT-Base-L,75.457,78.232,2021
mgrc,75.344,78.381,2021
BERT-Base-V,75.073,77.805,2020
MIR-MRC,74.791,77.988,2018
MIR-MRC,74.791,77.988,2018
BERT-Base-DT,74.769,77.706,2020
ARSG-BERT,74.746,78.227,2018
BERT-Base-V2,74.656,77.404,2020
BERT-Base-DP,74.577,77.464,2021
{BERTcw},74.385,77.308,2019
BERT-Base-Add,74.329,77.396,2020
nlnet,74.272,77.052,2018
batch2,73.742,76.858,2020
MMIPN,73.505,76.424,2018
BERT-Base-Baseline,73.302,76.284,2020
BERT-Base,73.099,76.236,2019
ICL_MODEL,72.884,76.217,2019
ICL_MODEL,72.884,76.217,2019
YARCS,72.670,75.507,2018
BERT-base,72.072,75.513,2020
BERTBase,72.072,75.513,2020
Reinforced Mnemonic Reader + Answer Verifier,71.767,74.295,2018
BERT-Base,71.699,74.430,2019
BERT+Answer Verifier,71.666,75.457,2018
SLQA+,71.462,74.434,2018
Unet,71.417,74.869,2018
SAN,71.316,73.704,2017
HYDRA_BERT,71.293,74.578,2021
{BERT-base},70.763,74.449,2019
FusionNet++,70.300,72.484,2017
Multi-Level Attention Fusion,69.476,72.857,2018
Multi-Level Attention Fusion,69.476,72.857,2018
Unet,69.262,72.642,2018
DocQA + NeurQuRI,68.766,71.662,2018
SAN,68.653,71.439,2017
KACTEIL-MRC,68.213,70.878,2018
KACTEIL-MRC,68.213,70.878,2018
BiDAF++ with pair2vec,68.021,71.583,2018
VS^3-NET,67.897,70.884,2018
EBB-Net,66.610,70.303,2019
KakaoNet2,65.719,69.381,2018
BiDAF++,65.651,68.866,2018
abcNet,65.256,69.206,2018
BiDAF + Self Attention + ELMo,63.372,66.251,2018
BiDAF + Self Attention + ELMo,63.372,66.251,2018
BSAE AddText,63.338,67.422,2018
eeAttNet,63.327,66.633,2018
BiDAF + Self Attention,59.332,62.305,2018
BiDAF-No-Answer,59.174,62.093,2018
BNA + SoftDrop,58.508,62.045,2019
Tree-LSTM + BiDAF + ELMo,57.707,62.341,2018
BNA + HardDrop,56.545,59.546,2019
Unnamed submission by Simon,56.545,59.546,2019
Anonymous,49.695,49.701,2020
{FOO},48.883,48.883,2019
Bert Large Sentence,48.804,48.815,2020
XLNet + DAAF + BERTverifier,44.945,47.994,2019
TSAN,40.397,43.213,2019
,27.217,29.597,2019
CHECK SYSTEM,4.830,5.920,2018
5cls_squad1_fai,0.068,3.971,2019
Ensemble ALBERT,90.123,,2020
gMLP-large,78.3,,2021
