model,paper-title href,accuracy,parameters,github href,paper href,paper title,year,Industry Affiliation,Academia Affiliation,Country,Extra Training Data
WRN-28-10,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple,97.73,36.5M,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple#code,https://paperswithcode.com/paper/mixmo-mixing-multiple-inputs-for-multiple/review/?hl=28410,MixMo: Mixing Multiple Inputs for Multiple Outputs via Deep Subnetworks,2021,"Thales, Valeo",Sorbonne University,,No
HCGNet-A2,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,97.71,3.1M,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39445,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,2019,,University of Chinese Academy of Sciences,,No
WRN + fixup init + mixup + cutout,https://paperswithcode.com/paper/fixup-initialization-residual-learning,97.7,18M,https://paperswithcode.com/paper/fixup-initialization-residual-learning#code,https://paperswithcode.com/paper/fixup-initialization-residual-learning/review/?hl=3946,Fixup Initialization: Residual Learning Without Normalization,2019,"Google Brain, Facebook","MIT, Stanford University",,No
NoisyDARTS-a,https://paperswithcode.com/paper/noisy-differentiable-architecture-search,97.61,5.5M,https://paperswithcode.com/paper/noisy-differentiable-architecture-search#code,https://paperswithcode.com/paper/noisy-differentiable-architecture-search/review/?hl=16509,Noisy Differentiable Architecture Search,2020,Xiaomi,,,No
LeViT-128,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,97.6,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s#code,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s/review/?hl=29491,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,2021,Facebook AI Research,,,Yes
DenseNet-BC-190 + batchboost,https://paperswithcode.com/paper/batchboost-regularization-for-stabilizing,97.54,25.6M,https://paperswithcode.com/paper/batchboost-regularization-for-stabilizing#code,https://paperswithcode.com/paper/batchboost-regularization-for-stabilizing#results,batchboost: regularization for stabilizing training with resistance to underfitting & overfitting,2020,,Poznan University of Technology,,No
LeViT-128S,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,97.5,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s#code,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s/review/?hl=29500,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,2021,Facebook AI Research,,,Yes
Shared WRN,https://paperswithcode.com/paper/learning-implicitly-recurrent-cnns-through,97.47,33.5M,https://paperswithcode.com/paper/learning-implicitly-recurrent-cnns-through#code,https://paperswithcode.com/paper/learning-implicitly-recurrent-cnns-through/review/?hl=8226,Learning Implicitly Recurrent CNNs Through Parameter Sharing,2019,,"TTI-Chicago, University of Chicago",,No
Manifold Mixup WRN 28-10,https://paperswithcode.com/paper/manifold-mixup-better-representations-by,97.45,36.5M,https://paperswithcode.com/paper/manifold-mixup-better-representations-by#code,https://paperswithcode.com/paper/manifold-mixup-better-representations-by/review/?hl=7835,Manifold Mixup: Better Representations by Interpolating Hidden States,2018,Facebook AI Research,"Aalto Univeristy, Mila - Quebec AI Institute, Sharif University of Technology",,No
WRN 28-14,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks,97.45,36.5M,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks#code,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks/review/?hl=30224,Neural networks with late-phase weights,2020,,"ETH Zurich, University of Zurich",,No
WRN-28-10 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,97.42,36.5M,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24912,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,2020,,"University of Southern California, Purdue University",,No
NAT-M1,https://paperswithcode.com/paper/neural-architecture-transfer,97.4,4.3M,https://paperswithcode.com/paper/neural-architecture-transfer#code,https://paperswithcode.com/paper/neural-architecture-transfer/review/?hl=16574,Neural Architecture Transfer,2020,,"Southern University of Science and Technology, Michigan State University",,Yes
ResNet-50-SAM,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,97.4,25M,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets#code,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets/review/?hl=34320,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,2021,Google ,UCLA,,Yes
DenseNet-BC-190 + Mixup,https://paperswithcode.com/paper/mixup-beyond-empirical-risk-minimization,97.3,25.6M,https://paperswithcode.com/paper/mixup-beyond-empirical-risk-minimization#code,https://paperswithcode.com/paper/mixup-beyond-empirical-risk-minimization/review/?hl=5057,mixup: Beyond Empirical Risk Minimization,2017,Facebook AI Research,MIT,,No
Transformer local-attention,https://paperswithcode.com/paper/aggregating-nested-transformers,97.2,90.1M,https://paperswithcode.com/paper/aggregating-nested-transformers#code,https://paperswithcode.com/paper/aggregating-nested-transformers/review/?hl=33771,Aggregating Nested Transformers,2021,"Google AI, Google",Rutgers University,,No
ShakeShake-2x64d + SWA,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,97.12,,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and#code,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and/review/?hl=4163,Averaging Weights Leads to Wider Optima and Better Generalization,2018,Samsung,"Lomonosov Moscow State University, Cornell University, Higher School of Economics",,No
PyramidNet-200 + CutMix,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train,97.12,,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train#code,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train/review/?hl=11232,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,2019,"Line Plus Corp., Naver Corp.",Yonsei University,,No
WRN-16-8 with reSGHMC,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange,96.87,,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange#code,https://paperswithcode.com/paper/non-convex-learning-via-replica-exchange/review/?hl=24910,Non-convex Learning via Replica Exchange Stochastic Gradient MCMC,2020,,"University of Southern California, Purdue University",,No
ResNet_XnIDR,https://paperswithcode.com/paper/xnodr-and-xnidr-two-accurate-and-fast-fully,96.87,,https://paperswithcode.com/paper/xnodr-and-xnidr-two-accurate-and-fast-fully#code,https://paperswithcode.com/paper/xnodr-and-xnidr-two-accurate-and-fast-fully/review/?hl=43587,XnODR and XnIDR: Two Accurate and Fast Fully Connected Layers For Convolutional Neural Networks,2021,,University of Denver,,No
HCGNet-A1,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,96.85,1.1M,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid#code,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid/review/?hl=39444,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,2019,,University of Chinese Academy of Sciences,,No
WRN 28-10,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks,96.81,,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks#code,https://paperswithcode.com/paper/economical-ensembles-with-hypernetworks/review/?hl=30223,Neural networks with late-phase weights,2020,,"ETH Zurich, University of Zurich",,No
AutoDropout,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to,96.8,,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to#code,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to/review/?hl=24592,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,2021,Google Brain,Carnegie Mellon University,,No
WRN-28-10 + SWA,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,96.79,,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and#code,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and/review/?hl=4162,Averaging Weights Leads to Wider Optima and Better Generalization,2018,Samsung,"Lomonosov Moscow State University, Cornell University, Higher School of Economics",,No
Wide ResNet+cutout,https://paperswithcode.com/paper/single-bit-per-weight-deep-convolutional,96.71,,https://paperswithcode.com/paper/single-bit-per-weight-deep-convolutional#code,https://paperswithcode.com/paper/single-bit-per-weight-deep-convolutional/review/?hl=6200,Single-bit-per-weight deep convolutional neural networks without batch-normalization layers for embedded systems,2019,,"UC San Diego, University of South Australia, Western Sydney University",,No
Deep pyramidal residual network,https://paperswithcode.com/paper/deep-pyramidal-residual-networks,96.69,,https://paperswithcode.com/paper/deep-pyramidal-residual-networks#code,https://paperswithcode.com/paper/deep-pyramidal-residual-networks/review/?hl=4492,Deep Pyramidal Residual Networks,2016,,KAIST,,No
CoPaNet-R-164,https://paperswithcode.com/paper/deep-competitive-pathway-networks,96.62,,https://paperswithcode.com/paper/deep-competitive-pathway-networks#code,https://paperswithcode.com/paper/deep-competitive-pathway-networks/review/?hl=2489,Deep Competitive Pathway Networks,2017,,National Chiao Tung University,,No
