Ranking,Model,Paper Title,Accuracy,Parameters,Parameters (missing),Paper Link,Year,Tags,Industry Affiliation,Academia Affiliation
14,FixEfficientNet-L2,Fixing the train-test resolution discrepancy: FixEfficientNet,88.50%,98.70%,480M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
15,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,88.40%,98.70%,480M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2020,EfficientNet,Google,Carnegie Mellon University
16,V-MoE-H/14,Scaling Vision with Sparse Mixture of Experts,88.36%,,7200M,https://paperswithcode.com/paper/scaling-vision-with-sparse-mixture-of-experts,2021,Transformer,Google Brain,
17,V-MoE-H/14,Scaling Vision with Sparse Mixture of Experts,88.23%,,2700M,https://paperswithcode.com/paper/scaling-vision-with-sparse-mixture-of-experts,2021,Transformer,Google Brain,
18,VIT-H/14,Scaling Vision with Sparse Mixture of Experts,88.08%,,656M,https://paperswithcode.com/paper/scaling-vision-with-sparse-mixture-of-experts,2021,Transformer,Google Brain,
19,Mixer-H/14,MLP-Mixer: An all-MLP Architecture for Vision,87.94%,,,https://paperswithcode.com/paper/mlp-mixer-an-all-mlp-architecture-for-vision,2021,MLP,Google Brain,
20,VIT-H448,Masked Autoencoders Are Scalable Vision Learners,87.8,,632M,https://paperswithcode.com/paper/masked-autoencoders-are-scalable-vision,2021,,Facebook AI Research,
21,ViT-L/16,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,87.76±0.03%,,307M,https://paperswithcode.com/paper/an-image-is-worth-16x16-words-transformers-1,2020,Transformer,Google Brain,
22,CvT-W24,CvT: Introducing Convolutions to Vision Transformers,87.70%,,277M,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
23,BiT-L,Big Transfer (BiT): General Visual Representation Learning,87.54%,98.46%,,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,2019,ResNet,Google Brain,
24,CSWin-L,CSWin Transformer: A General Vision Transformer Backbone with Cross-Shaped Windows,87.5,,173M,https://paperswithcode.com/paper/cswin-transformer-a-general-vision,2021,Transformer,"Microsoft Asia, Microsoft Cloud AI",University of Science and Technology China
25,V-MoE-L/16,Scaling Vision with Sparse Mixture of Experts,87.41%,,3400M,https://paperswithcode.com/paper/scaling-vision-with-sparse-mixture-of-experts,2021,Transformer,Google Brain,
26,Swin-L,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,87.30%,,197M,https://paperswithcode.com/paper/swin-transformer-hierarchical-vision,2021,Transformer,Microsoft Asia,
27,FixEfficientNet-B7,Fixing the train-test resolution discrepancy: FixEfficientNet,87.10%,98.20%,66M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
28,VOLO-D5,VOLO: Vision Outlooker for Visual Recognition,87.10%,,296M,https://paperswithcode.com/paper/volo-vision-outlooker-for-visual-recognition,2021,,Sea AI Lab,National University of Singapore
29,16-TokenLearner B/16,TokenLearner: What Can 8 Learned Tokens Do for Images and Videos?,87.07%,,,https://paperswithcode.com/paper/tokenlearner-what-can-8-learned-tokens-do-for,2021,JFT-300M,Google ,Stony Brook University
30,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,86.90%,98.10%,66M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
31,VIT-H,Masked Autoencoders Are Scalable Vision Learners,86.9,,,https://paperswithcode.com/paper/masked-autoencoders-are-scalable-vision,2021,,Facebook AI Research,
32,VOLO-D4,VOLO: Vision Outlooker for Visual Recognition,86.80%,,193M,https://paperswithcode.com/paper/volo-vision-outlooker-for-visual-recognition,2021,,Sea AI Lab,National University of Singapore
33,EfficientNetV2-L,EfficientNetV2: Smaller Models and Faster Training,86.80%,,121M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
34,NFNet-F5 w/ SAM w/ augmult=16,Drawing Multiple Augmentation Samples Per Image During Training Efficiently Decreases Test Error,86.78%,,377.2M,https://paperswithcode.com/paper/drawing-multiple-augmentation-samples-per,2021,,DeepMind,
35,FixEfficientNet-B6,Fixing the train-test resolution discrepancy: FixEfficientNet,86.70%,98.00%,43M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
36,NFNet-F6 w/ SAM,High-Performance Large-Scale Image Recognition Without Normalization,86.50%,97.90%,438.4M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
37,CaiT-M-48-448,Going deeper with Image Transformers,86.50%,,356M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
38,FixResNeXt-101 32x48d,Fixing the train-test resolution discrepancy,86.40%,98.00%,829M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy,2019,ResNeXt,Facebook AI Research,
39,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,86.40%,97.90%,43M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
40,FixEfficientNet-B5,Fixing the train-test resolution discrepancy: FixEfficientNet,86.40%,97.90%,30M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
41,LV-ViT-L,All Tokens Matter: Token Labeling for Training Better Vision Transformers,86.40%,,150M,https://paperswithcode.com/paper/token-labeling-training-a-85-5-top-1-accuracy,2021,Transformer,ByteDance,National University of Singapore
42,NFNet-F5 w/ SAM,High-Performance Large-Scale Image Recognition Without Normalization,86.30%,,377.2M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
43,CAIT-M36-448,Going deeper with Image Transformers,86.30%,,271M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
44,BEiT-B,BEiT: BERT Pre-Training of Image Transformers,86.30%,,86M,https://paperswithcode.com/paper/beit-bert-pre-training-of-image-transformers,2021,,Microsoft,
45,VOLO-D3,VOLO: Vision Outlooker for Visual Recognition,86.30%,,86M,https://paperswithcode.com/paper/volo-vision-outlooker-for-visual-recognition,2021,,Sea AI Lab,National University of Singapore
46,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,86.10%,97.80%,30M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
47,CAIT-M-36,Going deeper with Image Transformers,86.10%,,270.9M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
48,EfficientNetV2-M,EfficientNetV2: Smaller Models and Faster Training,86.10%,,55M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
49,Refiner-ViT-L,Refiner: Refining Self-attention for Vision Transformers,86.03,,81M,https://paperswithcode.com/paper/refiner-refining-self-attention-for-vision,2021,Transformer,,National University of Singapore
50,NFNet-F5,High-Performance Large-Scale Image Recognition Without Normalization,86.00%,97.60%,,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
51,VOLO-D2,VOLO: Vision Outlooker for Visual Recognition,86%,,59M,https://paperswithcode.com/paper/volo-vision-outlooker-for-visual-recognition,2021,,Sea AI Lab,National University of Singapore
52,Swin-B,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,86%,,,https://paperswithcode.com/paper/swin-transformer-hierarchical-vision,2021,Transformer,Microsoft Asia,
53,XCiT-L24,XCiT: Cross-Covariance Image Transformers,86%,,,https://paperswithcode.com/paper/xcit-cross-covariance-image-transformers,2021,,Facebook AI Research,Sorbonne University
54,FixEfficientNet-B4,Fixing the train-test resolution discrepancy: FixEfficientNet,85.90%,97.70%,19M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
55,NFNet-F4,High-Performance Large-Scale Image Recognition Without Normalization,85.90%,,316.1M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
56,VIT-L,Masked Autoencoders Are Scalable Vision Learners,85.9,,,https://paperswithcode.com/paper/masked-autoencoders-are-scalable-vision,2021,,Facebook AI Research,
57,CAIT-M-24,Going deeper with Image Transformers,85.80%,,185.9M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
58,KDforAA,Circumventing Outliers of AutoAugment with Knowledge Distillation,85.80%,,88M,https://paperswithcode.com/paper/circumventing-outliers-of-autoaugment-with,2020,EfficientNet,Huawei Inc.,Tongji University
59,Fix-EfficientNet-B8,MaxUp: A Simple Way to Improve Generalization of Neural Network Training,85.80%,,87.42M,https://paperswithcode.com/paper/maxup-a-simple-way-to-improve-generalization,2020,EfficientNet,,UT Austin
60,XCiT-M24,XCiT: Cross-Covariance Image Transformers,85.80%,,,https://paperswithcode.com/paper/xcit-cross-covariance-image-transformers,2021,Transformer,Facebook AI Research,"Inria, Sorbonne University"
61,FixEfficientNet-B8,Fixing the train-test resolution discrepancy: FixEfficientNet,85.70%,97.60%,,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
62,NFNet-F3,High-Performance Large-Scale Image Recognition Without Normalization,85.70%,97.50%,254.9M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
63,EfficientNetV2-L,EfficientNetV2: Smaller Models and Faster Training,85.70%,,121M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
64,XCiT-S24,XCiT: Cross-Covariance Image Transformers,85.60%,,,https://paperswithcode.com/paper/xcit-cross-covariance-image-transformers,2021,,Facebook AI Research,"Inria, Sorbonne University"
65,AdvProp,Adversarial Examples Improve Image Recognition,85.50%,97.30%,88M,https://paperswithcode.com/paper/adversarial-examples-improve-image,2019,EfficientNet,Google,Johns Hopkins University
66,HaloNet4,Scaling Local Self-Attention for Parameter Efficient Visual Backbones,85.50%,,87M,https://paperswithcode.com/paper/scaling-local-self-attention-for-parameter,2021,,Google,UC Berkeley
67,KDforAA,Circumventing Outliers of AutoAugment with Knowledge Distillation,85.50%,,66M,https://paperswithcode.com/paper/circumventing-outliers-of-autoaugment-with,2020,EfficientNet,Huawei Inc.,Tongji University
68,ResNeXt-101 32x48d,Exploring the Limits of Weakly Supervised Pretraining,85.40%,97.60%,829M,https://paperswithcode.com/paper/exploring-the-limits-of-weakly-supervised,2018,ResNeXt,Facebook ,
69,CAIT-S-36,Going deeper with Image Transformers,85.40%,,68.2M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
70,LV-ViT-M,All Tokens Matter: Token Labeling for Training Better Vision Transformers,85.40%,,56M,https://paperswithcode.com/paper/token-labeling-training-a-85-5-top-1-accuracy,2021,Transformer,ByteDance,"National University of Singapore, Nankai University"
71,EfficientNet-B8,RandAugment: Practical automated data augmentation with a reduced search space,85.40%,,,https://paperswithcode.com/paper/randaugment-practical-data-augmentation-with,2019,EfficientNet,Google Brain,
72,BiT-M,Big Transfer (BiT): General Visual Representation Learning,85.39%,97.69%,928M,https://paperswithcode.com/paper/large-scale-learning-of-general-visual,2019,ResNet,Google Brain,
73,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,85.30%,97.50%,19M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
74,CAIT-S-48,Going deeper with Image Transformers,85.30%,,89.5M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
75,ViT-L/16 Dosovitskiy et al.,MLP-Mixer: An all-MLP Architecture for Vision,85.30%,,,https://paperswithcode.com/paper/mlp-mixer-an-all-mlp-architecture-for-vision,2021,Transformer,Google Brain,
76,AdvProp,Adversarial Examples Improve Image Recognition,85.20%,97.20%,66M,https://paperswithcode.com/paper/adversarial-examples-improve-image,2019,EfficientNet,Google,Johns Hopkins University
77,DeiT-B 384,Training data-efficient image transformers & distillation through attention,85.20%,,87M,https://paperswithcode.com/paper/training-data-efficient-image-transformers,2020,Transformer,Facebook AI Research,Sorbonne University
78,VOLO-D1,VOLO: Vision Outlooker for Visual Recognition,85.20%,,27M,https://paperswithcode.com/paper/volo-vision-outlooker-for-visual-recognition,2021,,Sea AI Lab,National University of Singapore
79,ResNeXt-101 32x32d,Exploring the Limits of Weakly Supervised Pretraining,85.10%,97.50%,466M,https://paperswithcode.com/paper/exploring-the-limits-of-weakly-supervised,2018,ResNeXt,Facebook ,
80,ResNet200_vd_26w_4s_ssld,Semi-Supervised Recognition under a Noisy and Fine-grained Dataset,85.10%,97.40%,76M,https://paperswithcode.com/paper/semi-supervised-recognition-under-a-noisy-and,2020,ResNet,Baidu Inc.,
81,NFNet-F2,High-Performance Large-Scale Image Recognition Without Normalization,85.10%,97.30%,193.8M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
82,EfficientNetV2-M,EfficientNetV2: Smaller Models and Faster Training,85.10%,,55M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
83,CAIT-S-24,Going deeper with Image Transformers,85.10%,,46.9M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
84,XCiT-S12,XCiT: Cross-Covariance Image Transformers,85.10%,,,https://paperswithcode.com/paper/xcit-cross-covariance-image-transformers,2021,,Facebook AI Research,"Inria, Sorbonne University"
85,FixEfficientNet-B3,Fixing the train-test resolution discrepancy: FixEfficientNet,85%,97.40%,12M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
86,EfficientNet-B7,RandAugment: Practical automated data augmentation with a reduced search space,85%,,66M,https://paperswithcode.com/paper/randaugment-practical-data-augmentation-with,2019,EfficientNet,Google Brain,
87,EfficientNetV2-S,EfficientNetV2: Smaller Models and Faster Training,85.00%,,24M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
88,CvT-21,CvT: Introducing Convolutions to Vision Transformers,84.90%,,,https://paperswithcode.com/paper/cvt-introducing-convolutions-to-vision,2021,Transformer,Microsoft Cloud AI,McGill University
89,ResNeXt-101 32x16d,Billion-scale semi-supervised learning for image classification,84.80%,97.40%,193M,https://paperswithcode.com/paper/billion-scale-semi-supervised-learning-for,2019,ResNeXt,Facebook AI Research,
90,MViT-B-24,Multiscale Vision Transformers,84.80%,,72.9M,https://paperswithcode.com/paper/multiscale-vision-transformers,2021,,Facebook AI Research,UC Berkeley
91,CAIT-XS-36,Going deeper with Image Transformers,84.80%,,38.6M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
92,NFNet-F1,High-Performance Large-Scale Image Recognition Without Normalization,84.70%,97.10%,132.6M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
93,BoTNet T7,Bottleneck Transformers for Visual Recognition,84.70%,97%,75.1M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
94,ResNeSt-269,ResNeSt: Split-Attention Networks,84.50%,,,https://paperswithcode.com/paper/resnest-split-attention-networks,2020,,"Snap, Amazon, ByteDance, SenseTime",UC Davis
95,EfficientNet-B7,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,84.40%,97.10%,66M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
96,GPIPE,GPipe: Efficient Training of Giant Neural Networks using Pipeline Parallelism,84.40%,97%,,https://paperswithcode.com/paper/gpipe-efficient-training-of-giant-neural,2018,,Google ,
97,ResNet-RS-50,Revisiting ResNets: Improved Training and Scaling Strategies,84.40%,,192M,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and,2021,ResNet,Google Brain,
98,ResMLP-B24/8,ResMLP: Feedforward networks for image classification with data-efficient training,84.40%,,116M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,MLP,"Facebook AI Research, Valeo","Inria, Sorbonne University"
99,ResNeXt-101 32x8d,Billion-scale semi-supervised learning for image classification,84.30%,97.20%,88M,https://paperswithcode.com/paper/billion-scale-semi-supervised-learning-for,2019,ResNeXt,Facebook AI Research,
100,TResNet-XL,TResNet: High Performance GPU-Dedicated Architecture,84.30%,,77M,https://paperswithcode.com/paper/tresnet-high-performance-gpu-dedicated,2020,,Alibaba,Damo Academy
101,LambdaResNet200,LambdaNetworks: Modeling Long-Range Interactions Without Attention,84.30%,,42M,https://paperswithcode.com/paper/lambdanetworks-modeling-long-range-1,2021,,Google Brain,
102,ResNeXt-101 32×16d,Exploring the Limits of Weakly Supervised Pretraining,84.20%,97.20%,194M,https://paperswithcode.com/paper/exploring-the-limits-of-weakly-supervised,2018,ResNeXt,Facebook ,
103,BoTNet T7-320,Bottleneck Transformers for Visual Recognition,84.20%,96.90%,75.1M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
104,DeiT-B,Training data-efficient image transformers & distillation through attention,84.20%,,86M,https://paperswithcode.com/paper/training-data-efficient-image-transformers,2020,Transformer,Facebook AI Research,Sorbonne University
105,Assemble-ResNet152,Compounding the Performance Improvements of Assembled Techniques in a Convolutional Neural Network,84.20%,,,https://paperswithcode.com/paper/compounding-the-performance-improvements-of,2020,ResNet,Naver Corp.,
106,Swin-B,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows,84.20%,,,https://paperswithcode.com/paper/swin-transformer-hierarchical-vision,2021,Transformer,Microsoft Asia,"University of Science and Technology China, Tsinghua University, Xian Jiao Tong University"
107,ViP-B|384,Visual Parser: Representing Part-whole Hierarchies with Transformers,84.20%,,,https://paperswithcode.com/paper/visual-parser-representing-part-whole,2021,,ByteDance,University of Oxford
108,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,84.10%,96.90%,12M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,Carnegie Mellon University
109,CAIT-XS-24,Going deeper with Image Transformers,84.10%,,26.6M,https://paperswithcode.com/paper/going-deeper-with-image-transformers,2021,Transformer,Facebook AI Research,Sorbonne University
110,Conformer-B,Conformer: Local Features Coupling Global Representations for Visual Recognition,84.1,,,https://paperswithcode.com/paper/conformer-local-features-coupling-global,2021,Transformer,Huawei Inc.,University of Chinese Academy of Sciences
111,Fix_ResNet50_vd_ssld,Semi-Supervised Recognition under a Noisy and Fine-grained Dataset,84.00%,97.00%,25.58M,https://paperswithcode.com/paper/semi-supervised-recognition-under-a-noisy-and,2020,ResNet,Baidu Inc.,
112,FixEfficientNetB4,Fixing the train-test resolution discrepancy: FixEfficientNet,84.00%,97.00%,19M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
113,EfficientNet-B6,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,84%,96.90%,43M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
114,BoTNet T6,Bottleneck Transformers for Visual Recognition,84%,96.70%,53.9M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
115,PiT-B,Rethinking Spatial Dimensions of Vision Transformers,84%,,73.8M,https://paperswithcode.com/paper/rethinking-spatial-dimensions-of-vision,2021,Transformer,Naver Corp.,Sogang University
116,LambdaResNet152,LambdaNetworks: Modeling Long-Range Interactions Without Attention,84.00%,,35M,https://paperswithcode.com/paper/lambdanetworks-modeling-long-range-1,2021,ResNet,Google Brain,
117,AmoebaNet-A,Regularized Evolution for Image Classifier Architecture Search,83.90%,96.60%,469M,https://paperswithcode.com/paper/regularized-evolution-for-image-classifier,2018,,Google Brain,
118,TNT-B,Transformer in Transformer,83.90%,,65.6M,https://paperswithcode.com/paper/transformer-in-transformer,2021,Transformer,Huawei Inc.,"University of Macau, "
119,DynamicViT-LV-M/0.8,DynamicViT: Efficient Vision Transformers with Dynamic Token Sparsification,83.9,,57.1M,https://paperswithcode.com/paper/dynamicvit-efficient-vision-transformers-with,2021,Transformer,,"Tsinghua University, University of Washington, UCLA"
120,EfficientNetV2-S,EfficientNetV2: Smaller Models and Faster Training,83.90%,,24M,https://paperswithcode.com/paper/efficientnetv2-smaller-models-and-faster,2021,EfficientNet,Google Brain,
121,ResNeSt-200,ResNeSt: Split-Attention Networks,83.90%,,,https://paperswithcode.com/paper/resnest-split-attention-networks,2020,,"Snap, Amazon, ByteDance, SenseTime, Facebook",UC Davis
122,SENet-350,Bottleneck Transformers for Visual Recognition,83.80%,96.60%,,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
123,PVTv2-B4,PVTv2: Improved Baselines with Pyramid Vision Transformer,83.80%,,82M,https://paperswithcode.com/paper/pvtv2-improved-baselines-with-pyramid-vision,2021,,"IIAI, SenseTime","Nanjing University, The University of Hong Kong, Nanjing University of Science and Technology"
124,Transformer local-attention,Aggregating Nested Transformers,83.80%,,68M,https://paperswithcode.com/paper/aggregating-nested-transformers,2021,Transformer,Google,Rutgers University
125,ResNet-RS-270,Revisiting ResNets: Improved Training and Scaling Strategies,83.80%,,,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and,2021,ResNet,Google Brain,
126,FixPNASNet-5,Fixing the train-test resolution discrepancy,83.70%,96.80%,86.1M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy,2019,,Facebook AI Research,
127,Twins-SVT-L,Twins: Revisiting the Design of Spatial Attention in Vision Transformers,83.70%,,99.2M,https://paperswithcode.com/paper/twins-revisiting-spatial-attention-design-in,2021,Transformer,Meituan Inc.,The University of Adelaide
128,FixEfficientNet-B2,Fixing the train-test resolution discrepancy: FixEfficientNet,83.60%,96.90%,9.2M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy-2,2020,EfficientNet,Facebook AI Research,
129,NFNet-F0,High-Performance Large-Scale Image Recognition Without Normalization,83.60%,96.80%,71.5M,https://paperswithcode.com/paper/high-performance-large-scale-image,2021,,DeepMind,
130,MultiGrain PNASNet,MultiGrain: a unified image embedding for classes and instances,83.60%,96.70%,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
131,ResT-Large,ResT: An Efficient Transformer for Visual Recognition,83.60%,96.30%,51.63M,https://paperswithcode.com/paper/rest-an-efficient-transformer-for-visual,2021,Transformer,,Nanjing University
132,ResMLP-B24/8,ResMLP: Feedforward networks for image classification with data-efficient training,83.60%,,116M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,MLP,"Facebook AI Research, Valeo","Inria, Sorbonne University"
133,ViTAE-B-Stage,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,83.60%,,48.5M,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,JD Explore,University of Sydney
134,VIT-B,Masked Autoencoders Are Scalable Vision Learners,83.6,,,https://paperswithcode.com/paper/masked-autoencoders-are-scalable-vision,2021,,Facebook AI Research,
135,BoTNet T5,Bottleneck Transformers for Visual Recognition,83.50%,96.50%,75.1M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,Transformer,Google,UC Berkeley
136,ResNeXt-101 32x4d,Billion-scale semi-supervised learning for image classification,83.40%,96.80%,42M,https://paperswithcode.com/paper/billion-scale-semi-supervised-learning-for,2019,ResNeXt,Facebook AI Research,
137,sMLPNet-B,Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,83.40%,,65.9M,https://paperswithcode.com/paper/sparse-mlp-for-image-recognition-is-self,2021,MLP,Microsoft Asia,University of Science and Technology of Hefei
138,ResNet-RS,Revisiting ResNets: Improved Training and Scaling Strategies,83.40%,,,https://paperswithcode.com/paper/revisiting-resnets-improved-training-and,2021,ResNet,Google Brain,
139,"SE-ResNeXt-101, 64x4d, S=2",Towards Better Accuracy-efficiency Trade-offs: Divide and Co-training,83.34%,96.61%,,https://paperswithcode.com/paper/splitnet-divide-and-co-training,2020,ResNeXt,,"Shenzhen Institute of Artificial Intelligence and Robotics for Society, Zhejiang University"
140,EfficientNet-B5,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,83.30%,96.70%,30M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
141,CeiT-S,Incorporating Convolution Designs into Visual Transformers,83.30%,96.50%,,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,2021,Transformer,SenseTime ,"Nanyang Technological University, HKUST"
142,ViL-Medium-D,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,83.30%,,39.7M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Microsoft ,
143,Transformer local-attention,Aggregating Nested Transformers,83.30%,,38M,https://paperswithcode.com/paper/aggregating-nested-transformers,2021,Transformer,Google,Rutgers University
